Main Title,Full Review
Good app.,Hlo guys. Hotstar is a good app.     I also download it from play store.     It works on apple iphone and android phones both devices.     Its very easy to install and run.     First go to your mobile google play store.here select the search bar and type hotstar.     See the logo of real app then click the original app and click on install button.     Now downloading is start.     After download this app click the open button and run it.     If u want to go premium then u got a account on it.if u not. Then its not compalsory to make an account.     Now enjoys tha latest movies.tv shows and many more with your family and friends.   
Worst app ever i use,Hi everyone I will share my personal experience with you on Hotstar I installed and use this I don't like his content and there is difficult to operate and who want to install don't do for it best entertainment use another app     I don'ton't recommend this app to better entertainment movie service and non stop entertainment     This is my honest review     Thanks for watching my review   
WORSTAR,Very worst app in the world mainly for games whenever I want to see the reply or highlights they are showing only hindi language by default this is very pathetic service because hindi is useless language in the world and I have saved my profile with prepared language but still they want me to see hindi language   
Worst app dont useful app,I want to share with you my personal experience about the app which is hotstar I have installed and used this I dont like his content and operat is difficult and who want to install dont do it for best entertainment use another app or trying out.     i dont recommend this app to better entertaining movie and services and web series to non stop entertainment   
WORSTAR,My journey with hotstar is very bad when hotstar has been started they use to advertise that there will be add free shows will be provided bt now they made it "BAKWAS" by giving add in every 4 minutes. we don't have that much of time to see number of adds of same type. please improve to make it better so the that interest of people could be maintained it's not only a business .   
Sub par IPL coverage-,Reviewing the US product IPL coverage was less than advertised. All the games were not shown and a only a few games were saved in entirety to be watched later. The playoff were live only and t were played in the middle of the day. It should be easy to save the games to be watched later .Hope the World cup coverage is better.   
Service is very bad,App is not stable ........hot star app for Samsung TV is also not stable. Support is pathetic...they are all automated emails. Support team always blames devices for the defects. Very unprofessional.     I had bad deal for 8 weeks support team made me switch my account...made update my router...made update my smart TV software. At the end they still didn't fox the issue.   
All about entertainment,Hey friends how are you? If you are a TV lover you have surely listened about the entertainment app hotstar. It is a app in which you can see the shows which are hosted by star network such as star plus star Bharat abp news etc. You can also see a variety of movies in many languages depending upon the language you speak or prefer. Moreover by taking its premium membership you can see the shows much before they air on TV such as a show may air on 8: 30 pm on TV but you can see it on morning  this is a pleasure for TV fans.     Being a TV and cinema fan myself I prefer hot star because of its picture and sound quality. And if you are a person you wants to see English dramas or web series then also it's a right platform for you just join the app and start your entertainment I am sure you will not regret your decision   
Team hotstar reply,Not good experience..     Hotstar is not reverting to our single mail..     V have some subscription issues help desk number is also not available.     So how to further contact them     I hope they revert to our mail soon and help us out..     Even after the subscription taken we are not able to excess   
AMAZINGLY DEVELOPED APP,The hotstar app is a great development. it helps soo much to watch your shows anytime anywhere.     the only thing is there are no old shows added to the app. I request the developers to please add the old shows like best friends forever of channel V. there are some shows that dont have few episodes like D3 - this shows doesnt have its starting episodes and it starts with I think after 100 episodes are done.     please put the previous episodes also. there is nowhere else I can watch them   
